Time, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90
0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
1, None, None, None, 0, None, None, None, 0, 0, 0, 0, None, None, None, None, 0, 0, None, None, None, 1, None, None, None, None, None, None, None, None, 0, None, None, None, None, None, None, None, 0, None, 0, None, None, None, None, 0, 0, None, None, 0, None, 0, None, None, None, None, None, None, None, None, 0, 0, 0, None, 0, None, 0, None, None, None, None, None, None, None, 0, None, None, None, None, None, None, None, 0, None, None, None, None, None, None, None, None, None
2, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
3, None, None, None, 2, None, None, None, 2, 2, None, 2, None, None, None, None, None, 2, None, None, None, None, 2, None, None, None, None, None, None, None, 2, None, None, None, None, None, None, None, 2, None, 2, None, None, None, None, 2, None, None, 2, None, None, 2, None, None, 2, None, None, None, None, None, None, None, 2, 2, 2, None, 2, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2, None, None, None, None, None, None, None, None, None
4, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
6, None, None, None, None, None, None, None, None, 5, 5, 5, None, None, None, None, None, 5, None, None, None, None, 5, None, None, None, None, None, None, None, 5, None, None, None, None, None, None, None, 5, None, None, None, None, 5, None, 5, None, None, None, 5, None, None, None, None, None, None, None, None, None, None, 5, 5, 5, None, 5, None, 5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 5, None, None, None, None, None, None, None, None, None
7, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 7, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
8, None, None, None, 7, None, None, None, 7, 7, None, 7, None, None, None, None, 7, 7, 8, None, None, None, 7, None, None, None, None, None, None, None, 7, None, None, None, None, None, None, None, 7, None, 7, None, None, 7, None, 7, 7, None, None, 7, None, 7, None, None, None, None, None, None, None, None, 7, 7, 7, None, None, None, 7, None, None, None, None, None, None, None, 7, None, None, None, None, None, None, None, 7, None, None, None, None, None, None, None, None, None
9, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 9, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
10, 9, None, None, 9, None, None, None, 9, 9, 9, 9, None, None, None, None, 9, 9, None, None, None, None, 9, None, None, None, None, None, None, None, 9, None, None, None, None, 9, None, None, 9, None, 9, None, None, None, None, 9, 9, None, None, 9, None, 9, None, None, None, None, None, None, 10, None, None, None, 9, None, 9, None, 9, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 9, None, None, None, None, None, None, None, None, None
11, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 11, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None
12, 11, None, None, 11, None, None, None, 11, 11, None, 11, None, None, None, None, 11, 11, None, None, None, None, 11, None, None, None, None, None, None, None, 11, None, None, None, None, 11, None, None, 11, None, 11, None, None, None, None, 11, 11, None, None, 11, None, None, None, None, None, None, None, None, None, None, None, None, 11, None, 11, None, None, None, None, None, None, 12, None, None, 11, None, None, None, None, None, None, None, 11, None, None, None, None, None, None, None, None, None
